Strain,Stress
4.67E-05,2.64E-02
2.43E-03,4.96E-01
2.85E-03,6.86E-01
4.10E-03,1.78E+00
4.66E-03,1.80E+00
6.70E-03,2.97E+00
7.71E-03,3.33E+00
8.11E-03,3.41E+00
8.57E-03,3.48E+00
1.03E-02,4.37E+00
1.05E-02,4.41E+00
1.14E-02,4.30E+00
1.20E-02,4.14E+00
1.43E-02,2.58E+00
1.55E-02,2.21E+00
1.74E-02,1.47E+00
1.93E-02,9.54E-01
2.05E-02,7.92E-01
2.20E-02,8.05E-01
2.44E-02,9.11E-01
2.76E-02,9.68E-01
2.89E-02,9.04E-01
3.00E-02,7.10E-01
