Strain,Stress
0,0
0.0002,0.081264
0.000561,0.170457
0.000821,0.235884
0.000982,0.301308
0.000903,0.388551
0.001324,0.487691
0.001445,0.600709
0.001526,0.761315
0.001745,0.919939
0.002066,1.11426
0.002088,1.213404
0.002129,1.548486
0.002251,1.637709
0.002567,1.633728
0.002915,1.675371
0.003076,1.724941
0.003214,1.776492
0.003535,1.841925
0.003536,1.899456
0.003658,2.001358
0.00368,2.010614
0.003801,2.052959
0.004077,2.095307
0.004305,2.133676
0.004682,2.14822
0.004969,2.166735
0.00497,2.207753
0.004971,2.248778
0.005466,2.276559
0.005453,2.30832
0.005573,2.325521
0.005809,2.324188
0.006198,2.366542
0.006631,2.399626
0.006939,2.41153
0.007215,2.427402
0.007354,2.453864
0.007541,2.459149
0.007817,2.447219
0.008076,2.444554
0.008185,2.431305
0.008515,2.386293
0.008579,2.429963
0.00858,2.464365
0.008641,2.494794
0.008642,2.514639
0.008743,2.505361
0.008844,2.531839
0.009377,2.553004
0.009406,2.568871
0.009683,2.575473
0.009959,2.579433
0.010226,2.56221
0.010327,2.551609
0.010383,2.55557
0.01054,2.533062
0.010929,2.550265
0.011085,2.571432
0.011123,2.579354
0.01132,2.576685
0.01155,2.60712
0.011941,2.633582
0.012367,2.611076
0.012821,2.596501
0.012908,2.581935
0.013343,2.596488
0.013771,2.59118
0.014001,2.569994
0.014248,2.554089
0.014701,2.518337
0.015109,2.527589
0.015421,2.552734
0.01567,2.542132
0.015905,2.524906
0.015943,2.538136
0.016083,2.555338
0.016389,2.559292
0.016479,2.559281
0.016739,2.539414
0.016986,2.515587
0.017185,2.527488
0.017419,2.508949
0.017669,2.494377
0.017901,2.475841
0.018448,2.495691
0.018617,2.482454
0.018905,2.469213
0.019297,2.463912
0.019607,2.473172
0.019918,2.487724
0.020144,2.500948
0.020634,2.511524
0.020903,2.477096
0.021276,2.50224
0.021565,2.51547
0.021913,2.523406
0.022341,2.479722
0.022593,2.507511
0.022882,2.502207
0.023094,2.482344
0.0235,2.474393
0.02383,2.458499
0.024117,2.435991
0.02447,2.429362
0.024879,2.406857
0.025247,2.386993
0.025457,2.388304
0.026091,2.368444
0.026258,2.369758
0.026526,2.380335
0.026734,2.405475
0.027146,2.409437
0.027455,2.388255
0.027646,2.401483
0.027925,2.412059
0.028151,2.393523
0.028644,2.405428
0.028993,2.389542
0.029183,2.372328
0.029629,2.344526
0.029805,2.369668
0.030409,2.388192
0.030639,2.351122
0.030886,2.335231
0.031419,2.300815
0.031587,2.325955
0.031819,2.315356
0.031899,2.290199
0.032166,2.26505
0.032554,2.295487
0.032844,2.290185
0.033235,2.286205
0.033484,2.299437
0.033774,2.308696
0.034241,2.304711
0.034491,2.317941
0.034739,2.328512
0.035152,2.316588
0.035461,2.307307
0.03569,2.278174
0.036018,2.230517
0.036118,2.266248
0.036409,2.278153
0.036638,2.255645
0.036798,2.243725
0.036832,2.223857
0.037358,2.172226
0.037191,2.192073
0.037734,2.214567
0.037668,2.217198
0.037974,2.230428
0.038306,2.206601
0.038536,2.218506
0.038926,2.222466
0.039173,2.210545
0.039253,2.238341
0.039482,2.226422
0.039752,2.230388
0.040166,2.218463
0.040472,2.199923
0.040722,2.184033
0.040948,2.176078
0.041069,2.198571
0.041322,2.136356
0.041591,2.131047
0.041941,2.145593
0.042309,2.134997
0.042599,2.132342
0.042768,2.140275
0.043181,2.162777
0.043626,2.137621
0.043836,2.13364
0.044104,2.15084
0.044538,2.1601
0.044725,2.160093
0.044826,2.138904
0.045095,2.15611
0.045282,2.169344
0.045795,2.156094
0.045884,2.14417
0.045964,2.120343
0.046335,2.100472
0.046704,2.11237
0.046892,2.063387
0.047361,2.05808
0.047672,2.039542
0.047921,2.066003
0.048191,2.073938
0.048601,2.058049
0.048912,2.100395
0.049258,2.080529
0.049548,2.087139
0.049878,2.103016
0.050191,2.060654
0.050271,2.092415
0.050419,2.104318
0.050578,2.067252
0.050726,2.091069
0.050914,2.071206
0.051055,2.046052
0.051348,2.032802
0.051736,2.01029
0.051906,1.99307
0.052292,2.027475
0.052603,2.031434
0.052814,2.024806
0.053106,1.983768
0.053472,2.045967
0.053783,2.039334
0.054032,2.028737
0.054072,2.05917
0.054386,2.035337
0.054792,2.003565
0.054961,2.00354
0.055269,1.970437
0.055722,1.949254
0.05595,1.988958
0.0561,1.984978
0.0562,1.953208
0.056407,1.951871
0.056899,1.958479
0.057208,1.999503
0.057417,1.97037
0.057685,1.991542
0.058059,1.963734
0.058327,1.986231
0.058518,2.008728
0.058578,1.98357
0.058926,1.996796
0.059255,1.994137
0.059643,1.975595
0.059764,1.953091
0.059955,1.966319
0.060204,1.955722
0.060396,1.929249
0.060476,1.949095
0.060882,1.935849
0.061132,1.9226
0.061421,1.8948
0.061676,1.923914
0.062022,1.945089
0.062311,1.925226
0.06262,1.937135
0.062934,1.937128
0.063181,1.956976
0.063469,1.958286
0.063718,1.955625
0.064033,1.946352
0.06444,1.958249
0.064687,1.955589
0.064876,1.939696
0.065308,1.921155
0.065598,1.901292
0.065827,1.843049
0.066175,1.888045
0.066508,1.911861
0.066815,1.888026
0.067148,1.861547
0.067416,1.888014
0.067743,1.906538
0.068012,1.923734
0.068425,1.930349
0.068613,1.948866
0.068923,1.90783
0.06915,1.92106
0.06927,1.919728
0.069503,1.899867
0.069792,1.905148
0.069833,1.921027
0.070042,1.887934
0.07035,1.924989
0.07051,1.901164
0.070721,1.897184
0.070951,1.895847
0.071242,1.866724
0.071444,1.874655
0.07161,1.886551
0.071879,1.848167
0.072148,1.874632
0.072562,1.873301
0.072689,1.905062
0.072997,1.893134
0.073387,1.869304
0.073619,1.852082
0.073906,1.873256
0.074275,1.877219
0.074425,1.894426
0.074899,1.907651
0.075007,1.903673
0.075375,1.877187
0.075583,1.848057
0.075783,1.810981
0.076153,1.844067
0.076244,1.806999
0.076324,1.822873
0.076534,1.833452
0.076942,1.844036
0.077253,1.82947
0.077443,1.81755
0.077773,1.80431
0.078001,1.824163
0.078141,1.846661
0.078332,1.862535
0.078661,1.88371
0.078812,1.865174
0.079219,1.862512
0.079532,1.869128
0.079838,1.858533
0.080272,1.833382
0.08042,1.851907
0.08065,1.850574
0.080977,1.834684
0.081349,1.867772
0.081658,1.837319
