Strain,Stress
0,0
0.089912,5.922207
0.114247,7.379479
0.128433,8.03854
0.14018,8.603932
0.156295,9.278435
0.173353,9.903342
0.189883,10.3993
0.208322,10.85558
0.228676,11.29202
0.244638,11.54992
0.260589,11.77806
0.276511,11.92685
0.295806,12.09548
0.314587,12.17483
0.341543,12.25418
0.371842,12.27402
0.39922,12.19467
0.449642,12.01612
0.508663,11.68879
0.593114,11.21267
0.593114,11.21267
0.643514,10.97461
0.712156,10.6572
0.821144,10.22075
0.918628,9.883503
